,ABox,Run,Time,Judgement
0,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7558,I
1,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6028,I
2,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.411,I
3,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.478,I
4,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5352,I
5,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5374,I
6,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5367,I
7,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.4149,I
8,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.3224,I
9,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6877,I
10,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5389,I
11,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.692,I
12,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6915,I
13,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1919,I
14,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.755,I
15,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6912,I
16,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1069,I
17,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.3463,I
18,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7588,I
19,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5371,I
20,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5361,I
21,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2558,I
22,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2554,I
23,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.5324,I
24,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6032,I
25,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.3259,I
26,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.608,I
27,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.3418,I
28,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7564,I
29,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1691,I
30,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2593,I
31,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.7495,I
32,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1668,I
33,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.2609,I
34,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.692,I
35,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.1037,I
36,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(A&-A),2.6911,I
37,a:((A&-A)&(B&C)),| -> a:((A&-A)&(B&C)) -> a:(B&C) -> a:(A&-A),4.4747,I
