Index,ABox,Run,Time,Judgement
0,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(A&B) -> a:(B&C) -> a:(C&D) -> a:(D&-A),6.8867,I
1,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(B&C) -> a:(C&D) -> a:(A&B) -> a:(D&-A),6.7706,I
2,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(C&D) -> a:(B&C) -> a:(D&-A) -> a:(A&B),7.1227,I
3,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(D&-A) -> a:(C&D) -> a:(A&B),4.9107,I
4,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(A&B) -> a:(C&D) -> a:(B&C) -> a:(D&-A),7.3867,I
5,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(C&D) -> a:(A&B) -> a:(D&-A),6.1052,I
6,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(C&D) -> a:(B&C) -> a:(D&-A) -> a:(A&B),7.3698,I
7,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(B&C) -> a:(A&B) -> a:(D&-A),4.8725,I
8,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(A&B) -> a:(C&D) -> a:(B&C) -> a:(D&-A),7.649,I
9,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(C&D) -> a:(B&C) -> a:(D&-A) -> a:(A&B),7.0466,I
10,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(C&D) -> a:(D&-A) -> a:(A&B),4.8896,I
11,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(A&B) -> a:(B&C) -> a:(D&-A),5.4524,I
12,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(D&-A) -> a:(A&B),3.8764,I
13,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(D&-A) -> a:(B&C) -> a:(A&B),5.7561,I
14,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(C&D) -> a:(D&-A) -> a:(A&B),5.7507,I
15,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(B&C) -> a:(D&-A) -> a:(C&D) -> a:(A&B),8.1409,I
16,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(D&-A) -> a:(B&C) -> a:(C&D) -> a:(A&B),7.1524,I
17,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(B&C) -> a:(D&-A) -> a:(A&B),5.4052,I
18,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(A&B) -> a:(B&C) -> a:(C&D) -> a:(D&-A),7.1768,I
19,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(B&C) -> a:(C&D) -> a:(A&B) -> a:(D&-A),8.0815,I
20,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(B&C) -> a:(D&-A) -> a:(A&B),5.3415,I
21,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(B&C) -> a:(C&D) -> a:(A&B) -> a:(D&-A),7.9368,I
22,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(A&B) -> a:(B&C) -> a:(C&D) -> a:(D&-A),7.9235,I
23,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(D&-A) -> a:(A&B),4.0338,I
24,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(B&C) -> a:(A&B) -> a:(D&-A),5.8079,I
25,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(A&B) -> a:(B&C) -> a:(C&D) -> a:(D&-A),7.5022,I
26,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(B&C) -> a:(D&-A) -> a:(A&B),5.8806,I
27,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(C&D) -> a:(D&-A) -> a:(A&B),6.0886,I
28,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(C&D) -> a:(A&B) -> a:(D&-A),5.8196,I
29,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(A&B) -> a:(C&D) -> a:(B&C) -> a:(D&-A),7.2032,I
30,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(B&C) -> a:(C&D) -> a:(A&B) -> a:(D&-A),7.0334,I
31,"a:(A&B),a:(B&C),a:(C&D),a:(D&-A)",| -> a:(B&C) -> a:(C&D) -> a:(D&-A) -> a:(A&B),6.9492,I
