Index,ABox,Run,Time,Judgement
0,a:A,|,2.2448,C
1,a:A,|,2.2473,C
2,a:A,|,2.2461,C
3,a:A,|,2.2447,C
4,a:A,|,2.2452,C
5,a:A,|,2.2466,C
6,a:A,|,2.2454,C
7,a:A,|,2.2469,C
8,a:A,|,2.2446,C
9,a:A,|,2.2452,C
10,"a:A, b:B",|,2.9049,C
11,"a:A, b:B",|,2.9054,C
12,"a:A, b:B",|,2.9028,C
13,"a:A, b:B",|,2.903,C
14,"a:A, b:B",|,2.9043,C
15,"a:A, b:B",|,2.9057,C
16,"a:A, b:B",|,2.906,C
17,"a:A, b:B",|,2.9059,C
18,"a:A, b:B",|,2.9056,C
19,"a:A, b:B",|,2.904,C
20,"a:A, b:B, c:C",|,3.5662,C
21,"a:A, b:B, c:C",|,3.5627,C
22,"a:A, b:B, c:C",|,3.5644,C
23,"a:A, b:B, c:C",|,3.566,C
24,"a:A, b:B, c:C",|,3.5643,C
25,"a:A, b:B, c:C",|,3.5646,C
26,"a:A, b:B, c:C",|,3.5631,C
27,"a:A, b:B, c:C",|,3.5659,C
28,"a:A, b:B, c:C",|,3.566,C
29,"a:A, b:B, c:C",|,3.5666,C
30,"a:A, b:B, c:C, d:D",|,4.2225,C
31,"a:A, b:B, c:C, d:D",|,4.2211,C
32,"a:A, b:B, c:C, d:D",|,4.2227,C
33,"a:A, b:B, c:C, d:D",|,4.2252,C
34,"a:A, b:B, c:C, d:D",|,4.2247,C
35,"a:A, b:B, c:C, d:D",|,4.2197,C
36,"a:A, b:B, c:C, d:D",|,4.2223,C
37,"a:A, b:B, c:C, d:D",|,4.2246,C
38,"a:A, b:B, c:C, d:D",|,4.2207,C
39,"a:A, b:B, c:C, d:D",|,4.2249,C
40,"a:A, b:B, c:C, d:D, e:E",|,4.8815,C
41,"a:A, b:B, c:C, d:D, e:E",|,4.883,C
42,"a:A, b:B, c:C, d:D, e:E",|,4.8815,C
43,"a:A, b:B, c:C, d:D, e:E",|,4.8823,C
44,"a:A, b:B, c:C, d:D, e:E",|,4.8822,C
45,"a:A, b:B, c:C, d:D, e:E",|,4.8822,C
46,"a:A, b:B, c:C, d:D, e:E",|,4.8841,C
47,"a:A, b:B, c:C, d:D, e:E",|,4.8832,C
48,"a:A, b:B, c:C, d:D, e:E",|,4.8799,C
49,"a:A, b:B, c:C, d:D, e:E",|,4.8831,C
