,ABox,Run,Time,Judgement
0,"a:(A&B),a:B",| -> a:(A&B),4.1523,C
1,"a:(A&B),a:B",| -> a:(A&B),4.1025,C
2,"a:(A&B),a:B",| -> a:(A&B),4.1042,C
3,"a:(A&B),a:B",| -> a:(A&B),4.1022,C
4,"a:(A&B),a:B",| -> a:(A&B),4.188,C
5,"a:(A&B),a:B",| -> a:(A&B),4.1527,C
6,"a:(A&B),a:B",| -> a:(A&B),4.1009,C
7,"a:(A&B),a:B",| -> a:(A&B),4.1857,C
8,"a:(A&B),a:B",| -> a:(A&B),4.104,C
9,"a:(A&B),a:B",| -> a:(A&B),4.1047,C
10,"a:(A&B),a:B",| -> a:(A&B),4.1046,C
11,"a:(A&B),a:B",| -> a:(A&B),4.1074,C
12,"a:(A&B),a:B",| -> a:(A&B),4.0982,C
13,"a:(A&B),a:B",| -> a:(A&B),4.1017,C
14,"a:(A&B),a:B",| -> a:(A&B),4.1867,C
15,"a:(A&B),a:B",| -> a:(A&B),4.1862,C
16,"a:(A&B),a:B",| -> a:(A&B),4.1037,C
17,"a:(A&B),a:B",| -> a:(A&B),4.1041,C
18,"a:(A&B),a:B",| -> a:(A&B),4.1045,C
19,"a:(A&B),a:B",| -> a:(A&B),4.0967,C
20,"a:(A&B),a:B",| -> a:(A&B),4.0994,C
21,"a:(A&B),a:B",| -> a:(A&B),4.0999,C
22,"a:(A&B),a:B",| -> a:(A&B),4.1048,C
23,"a:(A&B),a:B",| -> a:(A&B),4.0981,C
24,"a:(A&B),a:B",| -> a:(A&B),4.1058,C
25,"a:(A&B),a:B",| -> a:(A&B),4.0942,C
26,"a:(A&B),a:B",| -> a:(A&B),4.1042,C
27,"a:(A&B),a:B",| -> a:(A&B),4.1886,C
28,"a:(A&B),a:B",| -> a:(A&B),4.1041,C
29,"a:(A&B),a:B",| -> a:(A&B),4.0991,C
30,"a:(A&B),a:B",| -> a:(A&B),4.1456,C
31,"a:(A&B),a:B",| -> a:(A&B),4.0973,C
32,"a:(A&B),a:B",| -> a:(A&B),4.1912,C
33,"a:(A&B),a:B",| -> a:(A&B),4.1051,C
34,"a:(A&B),a:B",| -> a:(A&B),4.1532,C
35,"a:(A&B),a:B",| -> a:(A&B),4.102,C
36,"a:(A&B),a:B",| -> a:(A&B),4.0993,C
37,"a:(A&B),a:B",| -> a:(A&B),4.1049,C
38,"a:(A&B),a:B",| -> a:(A&B),4.0949,C
39,"a:(A&B),a:B",| -> a:(A&B),4.1051,C
40,"a:(A&B),a:B",| -> a:(A&B),4.1903,C
41,"a:(A&B),a:B",| -> a:(A&B),4.1506,C
42,"a:(A&B),a:B",| -> a:(A&B),4.1856,C
43,"a:(A&B),a:B",| -> a:(A&B),4.1831,C
44,"a:(A&B),a:B",| -> a:(A&B),4.1493,C
45,"a:(A&B),a:B",| -> a:(A&B),4.1016,C
46,"a:(A&B),a:B",| -> a:(A&B),4.1046,C
47,"a:(A&B),a:B",| -> a:(A&B),4.0982,C
48,"a:(A&B),a:B",| -> a:(A&B),4.1542,C
49,"a:(A&B),a:B",| -> a:(A&B),4.103,C
50,"a:(A&B),a:B",| -> a:(A&B),4.1064,C
51,"a:(A&B),a:B",| -> a:(A&B),4.1517,C
52,"a:(A&B),a:B",| -> a:(A&B),4.099,C
53,"a:(A&B),a:B",| -> a:(A&B),4.1557,C
54,"a:(A&B),a:B",| -> a:(A&B),4.1863,C
55,"a:(A&B),a:B",| -> a:(A&B),4.1881,C
56,"a:(A&B),a:B",| -> a:(A&B),4.15,C
57,"a:(A&B),a:B",| -> a:(A&B),4.1884,C
58,"a:(A&B),a:B",| -> a:(A&B),4.1014,C
59,"a:(A&B),a:B",| -> a:(A&B),4.1007,C
60,"a:(A&B),a:B",| -> a:(A&B),4.1002,C
61,"a:(A&B),a:B",| -> a:(A&B),4.1078,C
62,"a:(A&B),a:B",| -> a:(A&B),4.1496,C
63,"a:(A&B),a:B",| -> a:(A&B),4.1021,C
64,"a:(A&B),a:B",| -> a:(A&B),4.1528,C
65,"a:(A&B),a:B",| -> a:(A&B),4.1043,C
66,"a:(A&B),a:B",| -> a:(A&B),4.0983,C
67,"a:(A&B),a:B",| -> a:(A&B),4.1886,C
68,"a:(A&B),a:B",| -> a:(A&B),4.1901,C
69,"a:(A&B),a:B",| -> a:(A&B),4.1899,C
70,"a:(A&B),a:B",| -> a:(A&B),4.1501,C
71,"a:(A&B),a:B",| -> a:(A&B),4.0979,C
72,"a:(A&B),a:B",| -> a:(A&B),4.1879,C
73,"a:(A&B),a:B",| -> a:(A&B),4.0948,C
74,"a:(A&B),a:B",| -> a:(A&B),4.1541,C
75,"a:(A&B),a:B",| -> a:(A&B),4.1059,C
76,"a:(A&B),a:B",| -> a:(A&B),4.103,C
77,"a:(A&B),a:B",| -> a:(A&B),4.1052,C
78,"a:(A&B),a:B",| -> a:(A&B),4.1025,C
79,"a:(A&B),a:B",| -> a:(A&B),4.107,C
80,"a:(A&B),a:B",| -> a:(A&B),4.0969,C
81,"a:(A&B),a:B",| -> a:(A&B),4.1512,C
82,"a:(A&B),a:B",| -> a:(A&B),4.1535,C
83,"a:(A&B),a:B",| -> a:(A&B),4.1906,C
84,"a:(A&B),a:B",| -> a:(A&B),4.0968,C
85,"a:(A&B),a:B",| -> a:(A&B),4.0986,C
86,"a:(A&B),a:B",| -> a:(A&B),4.1875,C
87,"a:(A&B),a:B",| -> a:(A&B),4.1502,C
88,"a:(A&B),a:B",| -> a:(A&B),4.1059,C
89,"a:(A&B),a:B",| -> a:(A&B),4.0991,C
90,"a:(A&B),a:B",| -> a:(A&B),4.0995,C
91,"a:(A&B),a:B",| -> a:(A&B),4.0969,C
92,"a:(A&B),a:B",| -> a:(A&B),4.1857,C
93,"a:(A&B),a:B",| -> a:(A&B),4.148,C
94,"a:(A&B),a:B",| -> a:(A&B),4.104,C
95,"a:(A&B),a:B",| -> a:(A&B),4.1893,C
96,"a:(A&B),a:B",| -> a:(A&B),4.1879,C
97,"a:(A&B),a:B",| -> a:(A&B),4.1055,C
98,"a:(A&B),a:B",| -> a:(A&B),4.1509,C
99,"a:(A&B),a:B",| -> a:(A&B),4.1034,C
100,"a:(A&B),a:B",| -> a:(A&B),4.1479,C
101,"a:(A&B),a:B",| -> a:(A&B),4.1892,C
102,"a:(A&B),a:B",| -> a:(A&B),4.1027,C
103,"a:(A&B),a:B",| -> a:(A&B),4.1897,C
104,"a:(A&B),a:B",| -> a:(A&B),4.1497,C
105,"a:(A&B),a:B",| -> a:(A&B),4.0992,C
106,"a:(A&B),a:B",| -> a:(A&B),4.189,C
107,"a:(A&B),a:B",| -> a:(A&B),4.1927,C
108,"a:(A&B),a:B",| -> a:(A&B),4.1052,C
109,"a:(A&B),a:B",| -> a:(A&B),4.1866,C
110,"a:(A&B),a:B",| -> a:(A&B),4.19,C
111,"a:(A&B),a:B",| -> a:(A&B),4.1038,C
112,"a:(A&B),a:B",| -> a:(A&B),4.1035,C
113,"a:(A&B),a:B",| -> a:(A&B),4.1895,C
114,"a:(A&B),a:B",| -> a:(A&B),4.1522,C
115,"a:(A&B),a:B",| -> a:(A&B),4.1855,C
116,"a:(A&B),a:B",| -> a:(A&B),4.1913,C
117,"a:(A&B),a:B",| -> a:(A&B),4.0982,C
118,"a:(A&B),a:B",| -> a:(A&B),4.0972,C
119,"a:(A&B),a:B",| -> a:(A&B),4.1033,C
120,"a:(A&B),a:B",| -> a:(A&B),4.1511,C
121,"a:(A&B),a:B",| -> a:(A&B),4.103,C
122,"a:(A&B),a:B",| -> a:(A&B),4.1514,C
123,"a:(A&B),a:B",| -> a:(A&B),4.1881,C
124,"a:(A&B),a:B",| -> a:(A&B),4.1889,C
125,"a:(A&B),a:B",| -> a:(A&B),4.1015,C
126,"a:(A&B),a:B",| -> a:(A&B),4.104,C
127,"a:(A&B),a:B",| -> a:(A&B),4.1851,C
128,"a:(A&B),a:B",| -> a:(A&B),4.1866,C
129,"a:(A&B),a:B",| -> a:(A&B),4.1491,C
130,"a:(A&B),a:B",| -> a:(A&B),4.1841,C
131,"a:(A&B),a:B",| -> a:(A&B),4.1522,C
132,"a:(A&B),a:B",| -> a:(A&B),4.154,C
133,"a:(A&B),a:B",| -> a:(A&B),4.1513,C
134,"a:(A&B),a:B",| -> a:(A&B),4.1047,C
135,"a:(A&B),a:B",| -> a:(A&B),4.1014,C
136,"a:(A&B),a:B",| -> a:(A&B),4.1006,C
137,"a:(A&B),a:B",| -> a:(A&B),4.1888,C
138,"a:(A&B),a:B",| -> a:(A&B),4.1524,C
139,"a:(A&B),a:B",| -> a:(A&B),4.1857,C
140,"a:(A&B),a:B",| -> a:(A&B),4.1522,C
141,"a:(A&B),a:B",| -> a:(A&B),4.1534,C
142,"a:(A&B),a:B",| -> a:(A&B),4.1043,C
143,"a:(A&B),a:B",| -> a:(A&B),4.0984,C
144,"a:(A&B),a:B",| -> a:(A&B),4.1857,C
145,"a:(A&B),a:B",| -> a:(A&B),4.0965,C
146,"a:(A&B),a:B",| -> a:(A&B),4.0965,C
147,"a:(A&B),a:B",| -> a:(A&B),4.0995,C
148,"a:(A&B),a:B",| -> a:(A&B),4.0998,C
149,"a:(A&B),a:B",| -> a:(A&B),4.1496,C
150,"a:(A&B),a:B",| -> a:(A&B),4.0974,C
151,"a:(A&B),a:B",| -> a:(A&B),4.0991,C
152,"a:(A&B),a:B",| -> a:(A&B),4.1854,C
153,"a:(A&B),a:B",| -> a:(A&B),4.1521,C
154,"a:(A&B),a:B",| -> a:(A&B),4.1528,C
155,"a:(A&B),a:B",| -> a:(A&B),4.0986,C
156,"a:(A&B),a:B",| -> a:(A&B),4.1054,C
157,"a:(A&B),a:B",| -> a:(A&B),4.1832,C
158,"a:(A&B),a:B",| -> a:(A&B),4.1867,C
159,"a:(A&B),a:B",| -> a:(A&B),4.1054,C
160,"a:(A&B),a:B",| -> a:(A&B),4.0968,C
161,"a:(A&B),a:B",| -> a:(A&B),4.1889,C
162,"a:(A&B),a:B",| -> a:(A&B),4.1069,C
163,"a:(A&B),a:B",| -> a:(A&B),4.104,C
164,"a:(A&B),a:B",| -> a:(A&B),4.1505,C
165,"a:(A&B),a:B",| -> a:(A&B),4.102,C
166,"a:(A&B),a:B",| -> a:(A&B),4.1037,C
167,"a:(A&B),a:B",| -> a:(A&B),4.1492,C
168,"a:(A&B),a:B",| -> a:(A&B),4.188,C
169,"a:(A&B),a:B",| -> a:(A&B),4.1513,C
170,"a:(A&B),a:B",| -> a:(A&B),4.1864,C
171,"a:(A&B),a:B",| -> a:(A&B),4.0989,C
172,"a:(A&B),a:B",| -> a:(A&B),4.1038,C
173,"a:(A&B),a:B",| -> a:(A&B),4.1518,C
174,"a:(A&B),a:B",| -> a:(A&B),4.0986,C
175,"a:(A&B),a:B",| -> a:(A&B),4.0983,C
176,"a:(A&B),a:B",| -> a:(A&B),4.1021,C
177,"a:(A&B),a:B",| -> a:(A&B),4.187,C
178,"a:(A&B),a:B",| -> a:(A&B),4.0973,C
179,"a:(A&B),a:B",| -> a:(A&B),4.1879,C
180,"a:(A&B),a:B",| -> a:(A&B),4.1878,C
181,"a:(A&B),a:B",| -> a:(A&B),4.1032,C
182,"a:(A&B),a:B",| -> a:(A&B),4.105,C
183,"a:(A&B),a:B",| -> a:(A&B),4.1508,C
184,"a:(A&B),a:B",| -> a:(A&B),4.1509,C
185,"a:(A&B),a:B",| -> a:(A&B),4.0996,C
186,"a:(A&B),a:B",| -> a:(A&B),4.0964,C
187,"a:(A&B),a:B",| -> a:(A&B),4.1878,C
188,"a:(A&B),a:B",| -> a:(A&B),4.0991,C
189,"a:(A&B),a:B",| -> a:(A&B),4.1889,C
190,"a:(A&B),a:B",| -> a:(A&B),4.105,C
191,"a:(A&B),a:B",| -> a:(A&B),4.1082,C
192,"a:(A&B),a:B",| -> a:(A&B),4.1873,C
193,"a:(A&B),a:B",| -> a:(A&B),4.1524,C
