Index,ABox,Run,Time,Judgement
0,"a:A, b:-A, a:-B",|,3.5632,C
1,"a:A, b:-A, a:-B",|,3.566,C
2,"a:A, b:-A, a:-B",|,3.5642,C
3,"a:A, b:-A, a:-B",|,3.563,C
4,"a:A, b:-A, a:-B",|,3.5656,C
5,"a:A, b:-A, a:-B",|,3.5642,C
6,"a:A, b:-A, a:-B",|,3.5636,C
7,"a:A, b:-A, a:-B",|,3.5627,C
8,"a:A, b:-A, a:-B",|,3.5648,C
9,"a:A, b:-A, a:-B",|,3.5652,C
10,"a:A, b:-A, a:-B",|,3.567,C
11,"a:A, b:-A, a:-B",|,3.5635,C
12,"a:A, b:-A, a:-B",|,3.5619,C
13,"a:A, b:-A, a:-B",|,3.5644,C
14,"a:A, b:-A, a:-B",|,3.5642,C
15,"a:A, b:-A, a:-B",|,3.5636,C
16,"a:A, b:-A, a:-B",|,3.5645,C
17,"a:A, b:-A, a:-B",|,3.5644,C
18,"a:A, b:-A, a:-B",|,3.5651,C
19,"a:A, b:-A, a:-B",|,3.5629,C
20,"a:A, b:-A, a:-B",|,3.5641,C
21,"a:A, b:-A, a:-B",|,3.5632,C
22,"a:A, b:-A, a:-B",|,3.563,C
23,"a:A, b:-A, a:-B",|,3.5658,C
24,"a:A, b:-A, a:-B",|,3.5637,C
25,"a:A, b:-A, a:-B",|,3.5642,C
26,"a:A, b:-A, a:-B",|,3.5659,C
27,"a:A, b:-A, a:-B",|,3.5647,C
28,"a:A, b:-A, a:-B",|,3.5627,C
29,"a:A, b:-A, a:-B",|,3.5643,C
30,"a:A, b:-A, a:-B",|,3.5643,C
31,"a:A, b:-A, a:-B",|,3.5639,C
32,"a:A, b:-A, a:-B",|,3.5657,C
33,"a:A, b:-A, a:-B",|,3.5614,C
34,"a:A, b:-A, a:-B",|,3.5647,C
35,"a:A, b:-A, a:-B",|,3.5651,C
36,"a:A, b:-A, a:-B",|,3.5647,C
37,"a:A, b:-A, a:-B",|,3.5659,C
38,"a:A, b:-A, a:-B",|,3.5616,C
39,"a:A, b:-A, a:-B",|,3.5648,C
40,"a:A, b:-A, a:-B",|,3.5621,C
41,"a:A, b:-A, a:-B",|,3.5635,C
42,"a:A, b:-A, a:-B",|,3.5661,C
43,"a:A, b:-A, a:-B",|,3.5634,C
44,"a:A, b:-A, a:-B",|,3.5635,C
45,"a:A, b:-A, a:-B",|,3.5643,C
46,"a:A, b:-A, a:-B",|,3.564,C
47,"a:A, b:-A, a:-B",|,3.5628,C
48,"a:A, b:-A, a:-B",|,3.5629,C
49,"a:A, b:-A, a:-B",|,3.5631,C
50,"a:/As.(-A&B), (b,a):r, c:(-B&C), b:/Ar./Es.(A&B), a:(B&-C), (b,c):s","| -> b:/Ar./Es.(A&B) + (b,a):r -> a:(B&-C) -> a:/Es.(A&B) -> x1:(A&B) -> a:/As.(-A&B) + (a,x1):s -> x1:(-A&B)",9.3675,I
51,"a:/As.(-A&B), (b,a):r, c:(-B&C), b:/Ar./Es.(A&B), a:(B&-C), (b,c):s","| -> b:/Ar./Es.(A&B) + (b,a):r -> a:/Es.(A&B) -> c:(-B&C) -> a:/As.(-A&B) + (a,x1):s -> a:(B&-C) -> x1:(A&B) -> x1:(-A&B)",12.8837,Fail
52,"a:/As.(-A&B), (b,a):r, c:(-B&C), b:/Ar./Es.(A&B), a:(B&-C), (b,c):s","| -> a:(B&-C) -> c:(-B&C) -> b:/Ar./Es.(A&B) -> b:/Ar./Es.(A&B) + (b,a):r -> a:/Es.(A&B) -> x1:(A&B) -> a:/As.(-A&B) + (a,x1):s -> x1:(-A&B)",13.1058,I
53,"a:/As.(-A&B), (b,a):r, c:(-B&C), b:/Ar./Es.(A&B), a:(B&-C), (b,c):s","| -> c:(-B&C) -> a:(B&-C) -> b:/Ar./Es.(A&B) + (b,a):r -> a:/Es.(A&B) -> x1:(A&B) -> b:/Ar./Es.(A&B) -> a:/As.(-A&B) + (a,x1):s -> x1:(-A&B)",12.328,I
